name,count
Adele,2427
Ariana Grande,45153
Big Sean,39290
Bruno Mars,7798
Camila Cabello,2107
Cardi B,8027
Chance The Rapper,4366
Childish Gambino,465
Chris Brown,35497
Chris Stapleton,23231
DJ Khaled,6579
Demi Lovato,11251
Drake,7396
Ed Sheeran,6649
Eminem,3430
Florida Georgia Line,11459
Future,15562
G Eazy,6805
Harry Styles,32043
Imagine Dragons,13578
J Cole,9841
JAY Z,9117
Jason Aldean,9952
Juice WRLD,1462
Justin Timberlake,15348
Kane Brown,17734
Kanye West,5180
Keith Urban,6316
Kendrick Lamar,4615
Khalid,192
Kodak Black,50847
Lady Gaga,17472
Lil Baby,26663
Lil Skies,8438
Lil Uzi Vert,6557
Lil Wayne,9881
Logic,1532
Luke Combs,7706
Maroon 5,68143
Metallica,760
Migos,1491
Miranda Lambert,5216
NF,387
Nicki Minaj,8306
Panic At The Disco,3952
Pentatonix,770
Pink,41077
Post Malone,15814
Rae Sremmurd,1008
Rihanna,10597
SZA,264
Sam Smith,24819
Shawn Mendes,4002
Soundtrack,2463
Taylor Swift,27719
The Chainsmokers,585
The Weeknd,1296
Thomas Rhett,8993
Travis Scott,18234
XXXTENTACION,59
twenty one pilots,42923